year,plant,country_code,start_tech,end_tech,switch_type,capital_cost,scenario_tech_moratorium,scenario_carbon_tax,scenario_green_premium,scenario_electricity_cost_scenario,scenario_hydrogen_cost_scenario,scenario_steel_demand_scenario,region_wsa_region,region_continent,region_region
2023,Gunung Raja Paksi steel plant,IDN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,Other Asia,Asia,South-eastern Asia
2023,Lloyds Steel Industries steel plant,IND,EAF,EAF,no switch,125.411,True,False,True,average,average,average,India,Asia,Southern Asia
2023,"Fujian Tsingtuo Nickel Industry Co., Ltd.",CHN,EAF,EAF,no switch,125.411,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"WISCO Group Kunming Steel Co., Ltd. Honghe Iron and Steel Company",CHN,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,ArcelorMittal Dofasco steel plant,CAN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,USMCA,North America,Northern America
2023,Yacizi Iron and Steel plant,TUR,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Asia,Asia,Western Asia
2023,U.S. Steel Big River Steel plant,USA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,USMCA,North America,Northern America
2023,"Tongling Fuxin Iron and Steel Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Yieh United Steel plant,TWN,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"WISCO Group Kunming Steel Co., Ltd. Yuxi Xinxing Steel Company",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Heping Yueshen Steel Industry Co., Ltd.",CHN,EAF,EAF,no switch,125.411,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,SAIL Rourkela steel plant,IND,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,India,Asia,Southern Asia
2023,Tata Steel Angul steel plant,IND,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,India,Asia,Southern Asia
2023,Nucor Steel Norfolk plant,USA,EAF,Close plant,main cycle,0.0,True,False,True,average,average,average,USMCA,North America,Northern America
2023,"Tianjin Tiantie Group Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Fujian Luoyuan Minguang Iron and Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Interpipe Nyzhnyodniprovskyi Tube Rolling Plant,UKR,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Europe,Europe,Eastern Europe
